entity_id,entity_name,segment,owner
CAL001,Caller journey 1,Strategic,Customer
CAL002,Caller journey 2,Watch,Operations
CAL003,Caller journey 3,Strategic,Product
CAL004,Caller journey 4,Growth,Analytics
CAL005,Caller journey 5,Strategic,Revenue
CAL006,Caller journey 6,Strategic,Operations
CAL007,Caller journey 7,Core,Revenue
CAL008,Caller journey 8,Watch,Analytics
CAL009,Caller journey 9,Growth,Revenue
CAL010,Caller journey 10,Watch,Analytics
CAL011,Caller journey 11,Strategic,Product
CAL012,Caller journey 12,Watch,Customer
CAL013,Caller journey 13,Strategic,Customer
CAL014,Caller journey 14,Growth,Operations
CAL015,Caller journey 15,Core,Product
CAL016,Caller journey 16,Strategic,Customer
CAL017,Caller journey 17,Growth,Operations
CAL018,Caller journey 18,Growth,Product
CAL019,Caller journey 19,Growth,Analytics
CAL020,Caller journey 20,Core,Analytics
CAL021,Caller journey 21,Watch,Operations
CAL022,Caller journey 22,Growth,Revenue
CAL023,Caller journey 23,Growth,Operations
CAL024,Caller journey 24,Core,Product
CAL025,Caller journey 25,Core,Analytics
CAL026,Caller journey 26,Watch,Customer
CAL027,Caller journey 27,Core,Analytics
CAL028,Caller journey 28,Growth,Product
CAL029,Caller journey 29,Growth,Product
CAL030,Caller journey 30,Strategic,Analytics
CAL031,Caller journey 31,Watch,Analytics
CAL032,Caller journey 32,Growth,Operations
CAL033,Caller journey 33,Watch,Customer
CAL034,Caller journey 34,Core,Operations
CAL035,Caller journey 35,Core,Revenue
CAL036,Caller journey 36,Core,Revenue
