journey_id,step_name,callers_entered,completion_rate,drop_off_rate,no_match_rate,no_input_rate,transfer_rate,avg_step_seconds,friction_index
JRN037,Intent capture,19524,85.2,13.0,5.6,3.5,1.9,71.0,7.7
JRN001,Intent capture,73994,85.9,12.7,5.9,3.8,1.4,70.0,7.6
JRN003,Intent capture,18433,85.9,12.8,5.7,3.7,1.3,70.0,7.6
JRN004,Intent capture,81498,85.9,12.7,5.7,3.5,1.4,70.0,7.5
JRN040,Intent capture,41310,85.6,12.8,5.6,3.5,1.6,73.0,7.5
JRN042,Intent capture,30948,85.6,12.9,5.2,3.8,1.6,71.0,7.5
JRN019,Intent capture,71082,85.7,12.8,5.1,3.7,1.5,69.0,7.4
JRN030,Intent capture,88650,85.6,12.8,5.1,3.6,1.5,70.0,7.4
JRN034,Intent capture,31881,85.8,12.5,5.6,3.4,1.7,72.0,7.4
JRN007,Intent capture,44918,86.0,12.7,4.8,3.9,1.3,74.0,7.3
JRN013,Intent capture,64010,86.0,12.6,5.1,3.7,1.4,70.0,7.3
JRN036,Intent capture,19543,85.8,12.6,4.8,3.6,1.5,71.0,7.3
JRN024,Intent capture,27219,86.1,12.6,4.8,3.7,1.3,71.0,7.2
JRN025,Intent capture,79153,86.4,12.2,5.3,3.6,1.4,70.0,7.2
JRN009,Intent capture,51415,88.8,9.9,5.6,3.6,1.3,71.0,6.3
JRN017,Intent capture,68020,88.7,9.8,5.4,3.8,1.4,69.0,6.3
JRN002,Intent capture,26569,88.7,9.9,5.1,3.7,1.4,70.0,6.2
JRN010,Intent capture,45100,89.1,9.6,5.5,3.9,1.3,69.0,6.2
JRN014,Intent capture,80837,88.5,10.0,4.8,3.9,1.5,74.0,6.2
JRN022,Intent capture,69829,89.1,9.5,5.9,3.7,1.4,73.0,6.2
JRN031,Intent capture,14588,89.3,9.6,5.8,3.7,1.1,68.0,6.2
JRN006,Intent capture,34978,89.2,9.5,5.4,3.7,1.3,71.0,6.1
JRN011,Intent capture,60556,89.0,9.5,5.3,3.5,1.4,71.0,6.1
JRN012,Intent capture,41429,89.0,9.5,5.3,3.5,1.5,71.0,6.1
JRN016,Intent capture,37828,89.0,9.8,5.2,3.6,1.2,70.0,6.1
JRN018,Intent capture,38942,89.0,9.7,5.3,3.6,1.3,73.0,6.1
JRN023,Intent capture,26253,88.9,9.7,5.5,3.3,1.4,70.0,6.1
JRN026,Intent capture,76822,88.9,9.7,5.0,3.7,1.4,70.0,6.1
JRN029,Intent capture,44518,89.1,9.5,5.4,3.5,1.4,75.0,6.1
JRN032,Intent capture,37703,88.9,9.8,4.9,3.7,1.2,68.0,6.1
JRN035,Intent capture,34396,88.7,9.7,5.0,3.6,1.7,75.0,6.1
JRN039,Intent capture,12107,89.0,9.5,5.3,3.8,1.5,70.0,6.1
JRN008,Intent capture,54327,88.8,9.5,4.8,3.5,1.7,72.0,6.0
JRN020,Intent capture,24249,89.4,9.3,5.5,3.5,1.3,73.0,6.0
JRN021,Intent capture,83619,88.9,9.6,4.9,3.7,1.5,69.0,6.0
JRN028,Intent capture,78028,89.0,9.7,4.9,3.6,1.3,70.0,6.0
JRN038,Intent capture,37223,89.2,9.6,5.1,3.5,1.2,72.0,6.0
JRN041,Intent capture,42640,89.4,9.3,5.3,3.6,1.2,73.0,6.0
JRN005,Intent capture,15842,89.3,9.6,4.8,3.3,1.1,73.0,5.9
JRN015,Intent capture,20813,89.4,9.3,5.1,3.7,1.3,69.0,5.9
JRN027,Intent capture,88276,89.2,9.5,5.2,3.1,1.2,72.0,5.9
JRN033,Intent capture,16833,89.3,9.4,5.1,3.5,1.2,69.0,5.9
JRN040,Eligibility or account lookup,35374,85.8,12.6,0.6,0.5,1.6,87.0,5.8
